"YEAR","AMA","SECTOR","CATEGORY","PARENT WATER TYPE OR SECTOR","BUDGET ELEMENT","QUANTITY"
"1991","TUCSON AMA","Municipal","Supply","Groundwater","Groundwater","125846"
"1991","TUCSON AMA","Municipal","Supply","Effluent","Effluent","5131"
"1991","TUCSON AMA","Industrial","Supply","Groundwater","Groundwater","57235"
"1991","TUCSON AMA","Industrial","Supply","Groundwater","Poor Quality GW","103"
"1991","TUCSON AMA","Industrial","Supply","Surface Water","Surface Water","0"
"1991","TUCSON AMA","Agricultural","Supply","Groundwater","Groundwater","85461"
"1991","TUCSON AMA","Agricultural","Supply","Effluent","Effluent","3047"
"1991","TUCSON AMA","Indian","Supply","Groundwater","Groundwater","1557"
"1992","TUCSON AMA","Municipal","Supply","Groundwater","Groundwater","120739"
"1992","TUCSON AMA","Municipal","Supply","CAP","CAP","7840"
"1992","TUCSON AMA","Municipal","Supply","Effluent","Effluent","5360"
"1992","TUCSON AMA","Industrial","Supply","Groundwater","Groundwater","51283"
"1992","TUCSON AMA","Industrial","Supply","Groundwater","Poor Quality GW","151"
"1992","TUCSON AMA","Industrial","Supply","Surface Water","Surface Water","0"
"1992","TUCSON AMA","Industrial","Supply","Effluent","Effluent","56"
"1992","TUCSON AMA","Agricultural","Supply","Groundwater","Groundwater","82208"
"1992","TUCSON AMA","Agricultural","Supply","Effluent","Effluent","2629"
"1992","TUCSON AMA","Indian","Supply","Groundwater","Groundwater","3800"
"1993","TUCSON AMA","Municipal","Supply","Groundwater","Groundwater","87325"
"1993","TUCSON AMA","Municipal","Supply","CAP","CAP","43918"
"1993","TUCSON AMA","Municipal","Supply","Effluent","Effluent","2823"
"1993","TUCSON AMA","Municipal","Supply","Effluent","Recovered Effluent","2618"
"1993","TUCSON AMA","Industrial","Supply","Groundwater","Groundwater","54785"
"1993","TUCSON AMA","Industrial","Supply","Groundwater","Poor Quality GW","116"
"1993","TUCSON AMA","Industrial","Supply","Surface Water","Surface Water","0"
"1993","TUCSON AMA","Industrial","Supply","Effluent","Effluent","63"
"1993","TUCSON AMA","Agricultural","Supply","Groundwater","Groundwater","78915"
"1993","TUCSON AMA","Agricultural","Supply","CAP","GSF (CAP)","2900"
"1993","TUCSON AMA","Agricultural","Supply","Effluent","Effluent","2684"
"1993","TUCSON AMA","Indian","Supply","Groundwater","Groundwater","4349"
"1994","TUCSON AMA","Municipal","Supply","Groundwater","Groundwater","120305"
"1994","TUCSON AMA","Municipal","Supply","CAP","CAP","20676"
"1994","TUCSON AMA","Municipal","Supply","Effluent","Effluent","2526"
"1994","TUCSON AMA","Municipal","Supply","Effluent","Recovered Effluent","3065"
"1994","TUCSON AMA","Industrial","Supply","Groundwater","Groundwater","61196"
"1994","TUCSON AMA","Industrial","Supply","Groundwater","Poor Quality GW","154"
"1994","TUCSON AMA","Industrial","Supply","Surface Water","Surface Water","0"
"1994","TUCSON AMA","Industrial","Supply","Effluent","Effluent","92"
"1994","TUCSON AMA","Agricultural","Supply","Groundwater","Groundwater","93176"
"1994","TUCSON AMA","Agricultural","Supply","CAP","GSF (CAP)","2014"
"1994","TUCSON AMA","Agricultural","Supply","Effluent","Effluent","3056"
"1994","TUCSON AMA","Indian","Supply","Groundwater","Groundwater","4786"
"1995","TUCSON AMA","Municipal","Supply","Groundwater","Groundwater","147762"
"1995","TUCSON AMA","Municipal","Supply","CAP","CAP","0"
"1995","TUCSON AMA","Municipal","Supply","Effluent","Effluent","3764"
"1995","TUCSON AMA","Municipal","Supply","Effluent","Recovered Effluent","2761"
"1995","TUCSON AMA","Industrial","Supply","Groundwater","Groundwater","60276"
"1995","TUCSON AMA","Industrial","Supply","Groundwater","Poor Quality GW","224"
"1995","TUCSON AMA","Industrial","Supply","Surface Water","Surface Water","0"
"1995","TUCSON AMA","Industrial","Supply","Effluent","Effluent","89"
"1995","TUCSON AMA","Agricultural","Supply","Groundwater","Groundwater","85005"
"1995","TUCSON AMA","Agricultural","Supply","CAP","GSF (CAP)","10137"
"1995","TUCSON AMA","Agricultural","Supply","Effluent","Effluent","1801"
"1995","TUCSON AMA","Indian","Supply","Groundwater","Groundwater","3089"
"1996","TUCSON AMA","Municipal","Supply","Groundwater","Groundwater","153740"
"1996","TUCSON AMA","Municipal","Supply","AWS Groundwater Accounting","Excess","4"
"1996","TUCSON AMA","Municipal","Supply","AWS Groundwater Accounting","Groundwater Allowance Pumping","2000"
"1996","TUCSON AMA","Municipal","Supply","CAP","CAP","0"
"1996","TUCSON AMA","Municipal","Supply","Effluent","Effluent","5767"
"1996","TUCSON AMA","Municipal","Supply","Effluent","Recovered Effluent","2521"
"1996","TUCSON AMA","Industrial","Supply","Groundwater","Groundwater","58917"
"1996","TUCSON AMA","Industrial","Supply","Groundwater","Poor Quality GW","137"
"1996","TUCSON AMA","Industrial","Supply","Surface Water","Surface Water","0"
"1996","TUCSON AMA","Industrial","Supply","Effluent","Effluent","83"
